"name","type","tier","tier_name","Private_or_public","state","Female","Parents mean","Parentsq1","Parentsq5","Parentstop1pc","Kidsmean","Kidsq5","Kidstop1pc"
"""California State University, Northridge""","1","5","Selective public","Public","CA","0.5867942458453789","84829.51676815747","0.1979410328726884","0.2400956632416523","0.00670668277641","49244.3334100243","0.3636087597575314","0.0111117295174765"
"""California State University, San Bernardino""","1","5","Selective public","Public","CA","0.6462185079558024","82251.9872987518","0.1409772215325518","0.2411796614872488","0.0038544467024306","45793.71724629161","0.3461358107871562","0.0073532645006442"
"""California State University, San Marcos""","1","5","Selective public","Public","CA","0.6139811957523587","128226.3447669037","0.0900111697847329","0.3912056191776374","0.0221049996181475","50603.34853005652","0.3617368547912118","0.0138892937045085"
"""California State University, Stanislaus""","1","5","Selective public","Public","CA","0.6670931862031906","83972.02921158099","0.1335046681600333","0.2451222241740227","0.0032910338742993","44836.22889674889","0.3377543698202288","0.003823274902777"
"Carrington College California","3","11","Two-year for-profit","NA","CA","0.8988514777571207","59022.17385918939","0.2445260406401131","0.1023658498658573","0.0035564657316039","26076.92089461125","0.090005607726037","0.0003652648386409"
"Center For Employment Training","2","12","Less than two-year schools of any type","NA","CA","0.5713708009916841","39084.00937003062","0.4277395961654332","0.0270813554958549","0.0008167914286848","21629.48800394589","0.0662821323885133","0.0012258564757086"
"Cerritos Community College","1","9","Two-year (public and private not-for-profit)","Private","CA","0.5313186096907848","56123.49817967453","0.2339129243793802","0.0903190144211947","0","32951.94417560635","0.1750185667907155","0.002535583930783"
"Chabot-Las Positas Community College District","1","9","Two-year (public and private not-for-profit)","Private","CA","0.4991784939906079","101121.4640307908","0.0929192116130417","0.3222605518770457","0.0063930102645506","40258.29423602606","0.2608883198433998","0.0051021476458281"
"Chaffey Community College","1","9","Two-year (public and private not-for-profit)","Private","CA","0.5375689603990878","76332.50965412405","0.1469355363771114","0.1978661656161345","0.0025819232000603","31579.25653349117","0.1848343300918683","0.0018673313388817"
"Chapman University","2","4","Highly selective private","Private","CA","0.5709293217471847","233063.9001865672","0.0533956041432804","0.4970823510941119","0.0528092157793777","55754.45066550926","0.4287697668236628","0.0235001573939096"
"Citrus Community College","1","9","Two-year (public and private not-for-profit)","Private","CA","0.5298712557757754","77666.00097720372","0.1406103137729513","0.2089201896167531","0.0040365301713684","33443.44549267995","0.1929502933780686","0.0041728199217303"
"Claremont Mckenna College","2","2","Other elite schools (public and private)","Private","CA","0.467612247718008","335092.9724310777","0.0433381070784217","0.628507763440991","0.1338320018952353","98125.42079808898","0.6326994505455348","0.1210631033820555"
"Coast Community College District","1","9","Two-year (public and private not-for-profit)","Private","CA","0.4801156951919463","101057.1972910093","0.1620393391291605","0.2869698243172649","0.010915637695119","36782.17605657179","0.2323348619579664","0.0061635428282334"
"College Of Marin","1","9","Two-year (public and private not-for-profit)","Private","CA","0.4477522012634538","118352.0521469986","0.1166110319665979","0.3578340520799907","0.0168935120574398","36083.41067314175","0.2104942513572461","0.0094538401616446"
"College Of The Canyons","1","9","Two-year (public and private not-for-profit)","Private","CA","0.4736276882017165","103185.4908580093","0.093080961563076","0.3528233671519636","0.0077206161919127","40109.35613349536","0.2651351642067857","0.0081528102165792"
"College Of The Desert","1","9","Two-year (public and private not-for-profit)","Private","CA","0.5033282782316445","59464.92464661432","0.2468433179886991","0.1202239018686108","0.0035401580104331","31873.89078743716","0.1648877016934542","0.001125143423008"
"College Of The Redwoods","1","9","Two-year (public and private not-for-profit)","Private","CA","0.5027516978228921","71567.55342292189","0.1876748968455577","0.1512639275941636","0.0032084014646665","26270.29559513443","0.1205160795151057","0.0007887510040915"
"College Of The Sequoias","1","9","Two-year (public and private not-for-profit)","Private","CA","0.5039304536459444","66608.21152779089","0.2175576738835964","0.1358689942342602","0.0028634940973211","32212.81047161291","0.1860006633107919","0.0025824543654531"
"College Of The Siskiyous","1","9","Two-year (public and private not-for-profit)","Private","CA","0.4010913870472839","85761.71080163044","0.1895545225531954","0.1454936649780794","0.0038372963356475","33321.62227317331","0.1999860300417714","0.0026749926689179"
